,Pred_sig,accuracy,quote
2022-04-20 09:35,1,0.7025862068965517,1028.5699
2022-04-20 09:37,-1,0.6982758620689655,1021.49
2022-04-20 09:39,1,0.6939655172413793,1024.0
2022-04-20 09:40,-1,0.6995708154506438,1019.29
2022-04-20 09:41,1,0.6995708154506438,1021.71
2022-04-20 09:44,-1,0.7167381974248928,1016.48
2022-04-20 09:59,1,0.7245762711864406,1003.47
2022-04-20 10:00,-1,0.7215189873417721,1002.49
2022-04-20 10:17,1,0.7333333333333333,1003.13
2022-04-20 10:19,-1,0.725,1000.76
2022-04-20 10:20,1,0.7427385892116183,1001.37
2022-04-20 10:22,-1,0.7427385892116183,1001.45
2022-04-20 10:28,1,0.7479338842975206,997.99
2022-04-20 10:31,-1,0.7613168724279835,993.71
2022-04-20 10:34,1,0.7613168724279835,998.0
2022-04-20 10:53,-1,0.7125506072874493,1006.56
2022-04-20 11:00,1,0.7670682730923695,1002.2
2022-04-20 11:01,-1,0.7791164658634538,999.73
2022-04-20 11:02,1,0.7751004016064257,1000.67
2022-04-20 11:10,-1,0.7649402390438247,1001.77
2022-04-20 11:13,1,0.7808764940239044,998.73
2022-04-20 11:15,-1,0.7698412698412699,999.14
2022-04-20 11:18,1,0.7698412698412699,998.38
2022-04-20 11:19,-1,0.7698412698412699,997.61
2022-04-20 11:22,1,0.7470355731225297,997.98
2022-04-20 11:26,-1,0.7637795275590551,994.82
2022-04-20 11:34,1,0.7568627450980392,995.27
2022-04-20 11:35,-1,0.75390625,995.24
2022-04-20 11:42,1,0.7431906614785992,997.37
2022-04-20 11:51,-1,0.7606177606177607,991.83
2022-04-20 11:53,1,0.7644787644787645,988.99
2022-04-20 11:54,-1,0.7683397683397684,989.9
2022-04-20 11:55,1,0.7653846153846153,989.3
2022-04-20 11:58,-1,0.7692307692307693,988.7
2022-04-20 12:14,1,0.752851711026616,982.64
2022-04-20 12:15,-1,0.7537878787878788,981.38
2022-04-20 12:19,1,0.7613636363636364,983.12
2022-04-20 12:24,-1,0.7584905660377359,980.35
2022-04-20 12:26,1,0.7631578947368421,981.75
2022-04-20 12:34,-1,0.7528089887640449,984.27
2022-04-20 12:38,1,0.75,986.48
2022-04-20 12:41,-1,0.7434944237918215,984.09
2022-04-20 13:03,1,0.7472527472527473,986.38
2022-04-20 13:07,-1,0.7481751824817519,986.1
2022-04-20 13:12,1,0.7381818181818182,986.83
2022-04-20 13:15,-1,0.7391304347826086,988.75
2022-04-20 13:19,1,0.7463768115942029,985.23
2022-04-20 13:20,-1,0.7364620938628159,985.64
2022-04-20 13:23,1,0.7292418772563177,987.99
2022-04-20 13:26,-1,0.7302158273381295,985.18
2022-04-20 13:29,1,0.7338129496402878,986.03
2022-04-20 13:32,-1,0.7275985663082437,986.32
2022-04-20 13:40,1,0.7330960854092526,988.77
2022-04-20 13:45,-1,0.7269503546099291,990.0
2022-04-20 13:52,1,0.7420494699646644,986.0
2022-04-20 14:06,-1,0.7342657342657343,989.87
2022-04-20 14:15,1,0.7222222222222222,986.15
2022-04-20 14:30,-1,0.7250859106529209,985.26
2022-04-20 14:37,1,0.7328767123287672,983.78
2022-04-20 14:38,-1,0.7294520547945206,983.65
2022-04-20 14:40,1,0.7303754266211604,982.9
2022-04-20 14:52,-1,0.735593220338983,980.3
2022-04-20 14:55,1,0.75,977.58
2022-04-20 14:58,-1,0.7567567567567568,978.45
2022-04-20 15:02,1,0.7609427609427609,981.54
2022-04-20 15:06,-1,0.7651006711409396,979.62
2022-04-20 15:21,1,0.7774086378737541,982.36
2022-04-20 15:29,-1,0.7715231788079471,980.8
2022-04-20 15:30,1,0.7722772277227723,981.7
2022-04-20 15:34,-1,0.7920792079207921,979.98
2022-04-20 15:35,1,0.7828947368421053,980.0
2022-04-20 15:50,-1,0.7654723127035831,982.38
2022-04-20 15:51,1,0.7654723127035831,980.66
2022-04-20 15:52,-1,0.7654723127035831,980.61
2022-04-20 15:53,1,0.7687296416938111,980.9
2022-04-20 15:58,-1,0.7694805194805194,977.08
